Weizenbaum,0,
Wheeler,6,"University of California, Santa Cruz"
Westervelt,0,SRI International
Whittaker,2,Somerville College
Widom,4,Poznań University of Technology
Wiederhold,7,University of Edinburgh
Wiener,1,University of London
Wijngaarden,4,National Bureau of Standards
Wilkes,0,University of Michigan
Wilkes,5,
Wilks,16,MIT
Wilkinson,3,University of Cambridge
Wilson,6,
Winograd,0,"University of California, Santa Cruz"
Winograd,1,Stanford University
Winston,7,Stanford University
Wirth,5,Massachusetts Institute of Technology
Wiseman,0,University of Amsterdam
Wisnosky,0,MIT
Wolfram,4,University of Cambridge
Woodger,0,University of Sheffield
Woodward,3,National Physical Laboratory
Worsley,0,University of Cambridge
Wozniak,0,Technion – Israel Institute of Technology
Wu,0,Stanford University
Wulf,0,
Yannakakis,1,ETH Zurich
Yao,1,University of Cambridge
Yen,2,
Yoneda,0,Wolfram Research
Yourdon,0,National Physical Laboratory
Yung,6,Telecommunications Research Establishment
Zadeh,4,
Zantema,0,
Zaman,0,
Zdonik,0,Carnegie Mellon University
Zedan,0,Columbia University
Zilberstein,0,Stanford University
